Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,CD4148WSP-C109001,D_0805_2012Metric,100.699,-70.853,0.0,top
D10,CD4148WSP-C109001,D_0805_2012Metric,172.699,-59.853,180.0,bottom
D11,CD4148WSP-C109001,D_0805_2012Metric,100.699,-87.853,0.0,top
D12,CD4148WSP-C109001,D_0805_2012Metric,100.699,-87.853,180.0,bottom
D13,CD4148WSP-C109001,D_0805_2012Metric,118.699,-75.827,0.0,top
D14,CD4148WSP-C109001,D_0805_2012Metric,118.699,-75.827,180.0,bottom
D15,CD4148WSP-C109001,D_0805_2012Metric,136.699,-68.969,0.0,top
D16,CD4148WSP-C109001,D_0805_2012Metric,136.699,-68.969,180.0,bottom
D17,CD4148WSP-C109001,D_0805_2012Metric,154.699,-74.303,0.0,top
D18,CD4148WSP-C109001,D_0805_2012Metric,154.699,-74.303,180.0,bottom
D19,CD4148WSP-C109001,D_0805_2012Metric,172.679,-76.843,0.0,top
D2,CD4148WSP-C109001,D_0805_2012Metric,100.699,-70.853,180.0,bottom
D20,CD4148WSP-C109001,D_0805_2012Metric,172.679,-76.843,180.0,bottom
D21,CD4148WSP-C109001,D_0805_2012Metric,100.699,-104.853,0.0,top
D22,CD4148WSP-C109001,D_0805_2012Metric,100.699,-104.853,180.0,bottom
D23,CD4148WSP-C109001,D_0805_2012Metric,118.699,-92.845,0.0,top
D24,CD4148WSP-C109001,D_0805_2012Metric,118.699,-92.845,180.0,bottom
D25,CD4148WSP-C109001,D_0805_2012Metric,136.699,-85.987,0.0,top
D26,CD4148WSP-C109001,D_0805_2012Metric,136.699,-85.987,180.0,bottom
D27,CD4148WSP-C109001,D_0805_2012Metric,154.699,-91.321,0.0,top
D28,CD4148WSP-C109001,D_0805_2012Metric,154.699,-91.321,180.0,bottom
D29,CD4148WSP-C109001,D_0805_2012Metric,172.679,-93.861,0.0,top
D3,CD4148WSP-C109001,D_0805_2012Metric,118.699,-58.853,0.0,top
D30,CD4148WSP-C109001,D_0805_2012Metric,172.679,-93.861,180.0,bottom
D31,CD4148WSP-C109001,D_0805_2012Metric,163.16362,-121.04336,165.0,top
D32,CD4148WSP-C109001,D_0805_2012Metric,163.16362,-121.04336,15.0,bottom
D33,CD4148WSP-C109001,D_0805_2012Metric,180.619963,-128.27147,150.0,top
D34,CD4148WSP-C109001,D_0805_2012Metric,180.619963,-128.27147,30.0,bottom
D4,CD4148WSP-C109001,D_0805_2012Metric,118.699,-58.853,180.0,bottom
D5,CD4148WSP-C109001,D_0805_2012Metric,136.699,-51.853,0.0,top
D6,CD4148WSP-C109001,D_0805_2012Metric,136.699,-51.853,180.0,bottom
D7,CD4148WSP-C109001,D_0805_2012Metric,154.699,-57.353,0.0,top
D8,CD4148WSP-C109001,D_0805_2012Metric,154.699,-57.353,180.0,bottom
D9,CD4148WSP-C109001,D_0805_2012Metric,172.699,-59.853,0.0,top
J1,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,95.699,-79.353,0.0,top
J10,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,136.699,-62.453,0.0,top
J11,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,141.699,-60.353,0.0,bottom
J12,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,136.699,-62.453,0.0,bottom
J13,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,149.699,-65.853,0.0,top
J14,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,154.699,-67.953,0.0,top
J15,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,159.699,-65.853,0.0,bottom
J16,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,154.699,-67.953,0.0,bottom
J17,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,167.699,-68.353,0.0,top
